image,difficulty,K,regions,small_regions,edge_density,original_size,working_size,policy,k_upper_bound,output
doraemong.jpeg,easy,10,88,71,0.0146,519x512,1100x1085,simple,18,doraemong_easy_k10.png
doraemong.jpeg,normal,14,539,469,0.0206,519x512,1100x1085,simple,18,doraemong_normal_k14.png
doraemong.jpeg,hard,18,488,428,0.0206,519x512,1100x1085,simple,18,doraemong_hard_k18.png
elsa.jpeg,easy,11,219,134,0.0218,620x706,966x1100,soft,18,elsa_easy_k11.png
elsa.jpeg,normal,15,220,114,0.0235,620x706,966x1100,soft,18,elsa_normal_k15.png
elsa.jpeg,hard,18,259,141,0.0257,620x706,966x1100,soft,18,elsa_hard_k18.png
flowers.jpg,easy,14,3215,2187,0.0625,4128x6192,1200x1800,high,60,flowers_easy_k14.png
flowers.jpg,normal,24,3783,2450,0.0726,4128x6192,1200x1800,high,60,flowers_normal_k24.png
flowers.jpg,hard,34,3773,2357,0.0730,4128x6192,1200x1800,high,60,flowers_hard_k34.png
image.png,easy,10,650,529,0.0226,960x1638,960x1638,simple,18,image_easy_k10.png
image.png,normal,14,804,668,0.0230,960x1638,960x1638,simple,18,image_normal_k14.png
image.png,hard,18,873,696,0.0252,960x1638,960x1638,simple,18,image_hard_k18.png
landscape.jpg,easy,13,1213,1081,0.0255,5184x3456,1800x1200,normal,60,landscape_easy_k13.png
landscape.jpg,normal,23,1399,1196,0.0341,5184x3456,1800x1200,normal,60,landscape_normal_k23.png
landscape.jpg,hard,33,1520,1304,0.0389,5184x3456,1800x1200,normal,60,landscape_hard_k33.png
portrait.jpg,easy,11,3009,2646,0.0509,3000x4499,1200x1800,high,60,portrait_easy_k11.png
portrait.jpg,normal,21,4328,3739,0.0695,3000x4499,1200x1800,high,60,portrait_normal_k21.png
portrait.jpg,hard,31,5424,4629,0.0831,3000x4499,1200x1800,high,60,portrait_hard_k31.png
sample_input.png,easy,10,8,2,0.0088,420x420,1100x1100,soft,60,sample_input_easy_k10.png
sample_input.png,normal,20,55,40,0.0134,420x420,1100x1100,soft,60,sample_input_normal_k20.png
sample_input.png,hard,30,69,50,0.0156,420x420,1100x1100,soft,60,sample_input_hard_k30.png
ych.jpg,easy,13,1375,963,0.0553,1440x900,1440x900,high,60,ych_easy_k13.png
ych.jpg,normal,23,1621,1165,0.0635,1440x900,1440x900,high,60,ych_normal_k23.png
ych.jpg,hard,33,1493,1064,0.0623,1440x900,1440x900,high,60,ych_hard_k33.png
